,State,District,Murder,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder,Hurt,Assault on Women,Sexual Harassment,Stalking,Kidnapping and Abduction,Human Trafficking,Rape,Attempt to Commit Rape,Offences Affecting the Human Body,Rioting,Theft,Burglary,Burglary-day,Burglary-night,Extortion & Blackmailing,Robbery,Dacoity,Offences against Property,Counterfeiting,"Forgery, Cheating & Fraud",Offences Relating to Documents & Property Marks,Offences relating to Elections,Rash Driving on Public way,Obstruction on Public way,Arson,Criminal Trespass,Cruelty by Husband or his Relatives,Circulate False/Fake News/Rumours,Criminal Intimidation,Insult to the Modesty of Women,Miscellaneous IPC Crimes,Other IPC Crimes,Total Cognizable IPC crimes,Year
1,Andhra Pradesh,Total,1054,202,152,1840,21775,2683,1120,750,1018,39,988,175,42864,510,13303,4386,931,3455,477,340,58,19414,57,5462,5519,20,38416,93,426,3278,7156,6,1398,1998,54419,8574,132336,2017
2,Arunachal Pradesh,Total,79,7,0,41,344,80,12,4,117,1,59,24,880,20,581,210,25,185,93,58,6,963,2,98,100,1,141,0,35,40,56,0,2,5,291,310,2565,2017
3,Assam,Total,1144,32,171,1050,16722,2097,735,70,7857,175,1772,378,37114,1246,14298,4658,778,3880,1162,1092,157,23627,134,5065,5199,9,4153,2,571,2178,9782,1,377,108,17631,18509,104324,2017
4,Bihar,Total,2803,111,1081,9586,83139,42,124,10,8479,25,605,317,114374,11698,27207,4776,303,4473,900,1594,326,37415,16,6874,6890,0,4528,0,375,0,3776,0,2,1,8683,129,180573,2017
5,Chhattisgarh,Total,919,32,74,655,13959,1267,288,141,2109,35,1908,19,26301,664,6727,3541,395,3146,68,356,70,10940,35,1520,1555,0,9063,484,336,376,582,1,2597,144,13813,5154,58481,2017
6,Goa,Total,31,9,1,26,387,61,40,22,86,35,76,0,1069,121,468,184,35,149,5,27,2,729,2,156,158,16,436,1,34,89,21,0,106,31,824,42,2965,2017
7,Gujarat,Total,970,71,9,1049,8750,494,364,112,2094,2,477,14,22192,1740,15322,4377,440,3937,346,1277,306,22637,73,2420,2493,6,21114,23961,200,393,3223,5,14981,17,76321,3015,128775,2017
8,Haryana,Total,1046,54,245,948,6426,584,675,412,4401,13,1099,145,26336,2408,26264,7447,1103,6344,320,572,196,36753,21,4439,4460,7,7425,181,388,1709,3326,0,2417,179,16544,10252,97924,2017
9,Himachal Pradesh,Total,99,8,3,69,2828,190,135,47,339,0,249,8,5235,338,594,549,109,440,5,8,3,1307,7,433,440,0,2448,1396,99,830,191,4,108,52,5175,449,13007,2017
10,Jammu and Kashmir,Total,152,27,8,390,1407,1341,12,9,995,0,296,21,6912,1486,1845,1364,226,1138,0,57,2,3344,11,605,616,0,4983,0,183,1142,377,4,54,41,7421,2854,22667,2017
11,Jharkhand,Total,1487,40,248,1187,5771,614,49,8,1577,112,914,168,15885,1791,8841,1631,184,1447,547,526,179,12280,1,3177,3178,0,1485,0,92,70,998,0,103,104,2910,8324,44595,2017
12,Karnataka,Total,1384,80,206,2719,19461,3818,768,236,3005,15,546,12,44656,5377,21211,6237,1219,5018,236,2152,304,31406,40,7032,7072,54,32807,6092,409,1670,2332,5,2782,212,47444,9925,146354,2017
13,Kerala,Total,305,112,12,583,20323,3163,828,220,293,15,2003,57,34138,4689,3844,2380,496,1884,74,807,63,7475,25,4433,4458,1,159242,9919,405,2261,2856,18,793,421,177040,5588,235846,2017
14,Madhya Pradesh,Total,1908,152,632,1895,77412,4906,2956,1163,7807,58,5562,61,120914,1741,31043,10613,770,9843,189,1581,98,44216,34,2702,2736,3,42594,512,833,2850,6099,138,11540,277,79703,20091,269512,2017
15,Maharashtra,Total,2103,279,233,2744,37978,4306,2910,1545,10324,136,1933,9,80506,7743,86756,15412,2979,12433,779,6451,652,112366,81,11881,11962,23,24147,24814,1184,2735,6584,4,226,919,67652,7028,288879,2017
16,Manipur,Total,63,9,0,159,305,30,11,9,142,8,40,4,904,109,785,90,0,90,65,8,1,983,1,227,228,14,481,0,40,3,19,0,22,8,589,596,3416,2017
17,Meghalaya,Total,87,7,1,49,155,60,19,7,148,0,119,20,836,5,876,281,76,205,68,64,28,1372,2,238,240,0,146,0,71,21,20,0,149,21,575,459,3521,2017
18,Mizoram,Total,21,5,0,13,99,23,32,2,4,1,25,1,295,2,931,564,237,327,6,5,0,1523,12,62,74,0,12,0,18,24,20,0,63,2,188,34,2118,2017
19,Nagaland,Total,36,2,0,46,21,7,4,0,66,0,10,2,238,5,386,81,9,72,143,30,4,665,3,44,47,0,20,0,6,6,3,0,13,0,62,44,1068,2017
20,Odisha,Total,1267,22,326,3064,7024,5220,1134,257,3349,59,2070,151,31679,2407,9083,3953,160,3793,509,2048,462,16606,14,2960,2974,2,6430,2,604,11,2525,1,9706,490,20042,9567,83583,2017
21,Punjab,Total,659,122,68,789,5971,458,263,94,1386,2,530,79,14541,1,6929,3032,581,2451,76,122,27,11812,33,3486,3519,26,2129,328,86,1112,1199,5,16,22,6536,2862,39288,2017
22,Rajasthan,Total,1473,103,457,1588,24470,3743,650,165,5216,22,3305,550,53220,345,27573,5022,870,4152,353,972,47,34491,50,21152,21202,0,12234,91,477,3811,11508,3,39,24,28296,29693,169941,2017
23,Sikkim,Total,13,1,0,12,92,18,1,2,71,0,17,2,293,2,79,77,32,45,0,3,0,171,1,48,49,0,147,0,8,19,5,1,0,7,192,9,719,2017
24,Tamil Nadu,Total,1560,51,48,2460,41363,615,69,23,1027,12,283,11,65678,1935,15422,4751,1134,3617,1239,1841,97,23659,53,3298,3351,125,50467,1318,402,579,984,16,4641,9,70583,9244,178836,2017
25,Telangana,Total,805,149,251,1045,20197,2281,658,1243,1560,184,552,38,37710,542,12568,4766,1064,3702,293,790,73,19178,39,10147,10186,10,17020,7,430,4558,7838,11,1359,1160,35476,16270,119858,2017
26,Tripura,Total,124,3,33,69,1108,103,45,6,122,2,95,17,1985,125,272,176,10,166,28,17,4,525,0,125,125,0,350,0,32,78,348,0,61,9,913,236,3918,2017
27,Uttar Pradesh,Total,4324,1267,2524,4939,40959,4313,5830,745,19921,22,4246,601,112056,8990,60434,9272,706,8566,855,4089,263,83616,180,15122,15302,606,23003,14,604,4225,12653,32,18625,91,61973,27573,310084,2017
28,Uttarakhand,Total,181,48,60,196,987,334,66,19,800,4,374,19,3855,622,2133,417,62,355,7,253,16,3048,38,888,926,25,960,0,16,92,394,0,70,4,1585,2839,12889,2017
