State,Year,District,Murder,Attempt to Commit Murder ,Hurt,Assault on Women ,Kidnapping and Abduction,Rape,Offences Affecting the Human Body,Rioting,Theft,Burglary,Extortion & Blackmailing,Robbery,Offences against Property,"Forgery, Cheating & Fraud",Offences Relating to Documents & Property Marks,Rash Driving on Public way,Obstruction on Public way,Arson,Criminal Trespass,Cruelty by Husband or his Relatives,Circulate False/Fake News/Rumours,Criminal Intimidation,Miscellaneous IPC Crimes,Other IPC Crimes,Total Cognizable IPC crimes
Tamil Nadu,2017,Ariyalur,20,31,592,17,22,4,867,46,22,29,0,13,68,22,22,499,0,5,5,6,0,0,1002,0,2017
Tamil Nadu,2018,Ariyalur,17,27,544,8,15,4,722,40,54,24,0,24,102,27,27,552,0,5,4,3,0,0,937,13,1859
Tamil Nadu,2019,Ariyalur,22,27,478,5,11,14,672,48,64,37,0,13,114,23,24,393,0,4,4,6,1,0,594,64,1573
Tamil Nadu,2020,Ariyalur,19,35,588,3,6,9,752,64,32,24,0,10,66,19,19,340,0,3,0,8,4,0,532,6324,7909
Tamil Nadu,2020,Chengalpattu,48,29,199,6,0,12,589,37,69,66,0,43,181,18,19,906,0,0,0,3,0,0,909,42562,44297
Tamil Nadu,2017,Chennai,154,244,2350,47,54,31,4446,144,4158,712,102,155,5158,637,643,6204,0,17,78,123,5,298,7103,402,19195
Tamil Nadu,2018,Chennai,172,319,2939,47,56,35,5095,43,3891,735,151,511,5327,1016,1026,6527,0,9,88,116,7,293,7536,209,20160
Tamil Nadu,2019,Chennai,172,321,2632,49,49,42,4768,61,3618,731,213,693,5294,784,790,5642,0,19,54,116,32,187,6444,232,18108
Tamil Nadu,2020,Chennai,150,335,2397,33,37,31,4039,47,4788,817,0,658,6353,667,669,3534,0,34,71,56,42,317,4503,72029,88388
Tamil Nadu,2017,Coimbatore,47,27,965,7,21,4,1821,30,207,144,2,73,428,81,81,1757,0,6,0,28,0,0,1791,233,4395
Tamil Nadu,2018,Coimbatore,36,21,1324,9,8,1,1904,24,281,152,14,27,478,57,57,1560,0,6,0,13,0,0,1579,113,4171
Tamil Nadu,2019,Coimbatore,49,29,1291,10,16,6,1844,33,321,196,0,61,587,62,63,1398,0,5,0,28,0,0,1431,246,4261
Tamil Nadu,2020,Coimbatore,44,21,938,4,6,7,1408,21,243,117,10,39,421,49,51,1370,0,7,7,13,1,6,1422,23239,26641
Tamil Nadu,2017,Coimbatore City,21,18,795,5,5,0,1156,15,449,104,14,93,665,143,143,999,0,5,0,30,0,2,1036,0,3087
Tamil Nadu,2018,Coimbatore City,31,26,690,6,10,2,938,13,539,77,26,112,759,102,103,984,0,2,0,19,0,0,1005,0,2892
